Supplier_ID,Supplier_Name,Component_ID,Component_Name,Unit_Price,Currency,MOQ,Lead_Time_Days,Quote_Date,Valid_Until,Payment_Terms,Quality_Rating,On_Time_Delivery
SUP-1915,Innolux,COMP-37578,Main Board,32.65,EUR,100,109,2024-11-05,2025-04-25,Net 60,95.7,93.9
SUP-3738,Samsung Display,COMP-93085,Bezel,17.14,CNY,200,44,2024-11-17,2025-01-19,Net 30,95.5,84.7
SUP-6384,Sharp Corporation,COMP-25512,Bezel,20.84,USD,500,87,2024-11-12,2025-04-29,Net 90,96.1,94.3
SUP-9808,Tianma,COMP-53627,Power Supply,65.15,EUR,2000,48,2024-11-26,2025-02-16,Net 30,93.1,80.9
SUP-6965,JDI,COMP-99413,OLED Panel,789.69,CNY,200,87,2024-11-26,2025-05-12,Net 90,88.7,87.2
SUP-7284,BOE Technology,COMP-26703,Bezel,16.13,USD,1000,47,2024-11-19,2025-04-24,Net 60,88.7,81.2
SUP-9006,Tianma,COMP-42139,Power Supply,68.47,USD,2000,100,2024-11-13,2025-02-21,Net 30,93.6,87.2
SUP-7657,TCL CSOT,COMP-88624,Stand,18.49,USD,200,96,2024-11-09,2025-01-18,LC at Sight,87.8,84.6
SUP-8670,BOE Technology,COMP-92663,LED Backlight,26.09,USD,2000,37,2024-11-30,2025-04-04,30% Deposit,99.6,89.0
SUP-1048,JDI,COMP-33267,Power Supply,65.48,USD,100,61,2024-11-07,2025-01-14,Net 30,97.8,85.0
SUP-3071,Samsung Display,COMP-94970,QLED Panel,300.49,USD,1000,105,2024-11-30,2025-04-07,Net 60,91.6,83.0
SUP-7710,BOE Technology,COMP-86325,Power Supply,55.95,CNY,100,111,2024-11-30,2025-04-07,Net 30,92.2,95.3
SUP-1824,Tianma,COMP-55764,Bezel,8.65,USD,2000,60,2024-11-14,2025-02-22,Net 90,86.1,90.8
SUP-7188,Samsung Display,COMP-14120,QLED Panel,466.59,EUR,1000,49,2024-11-01,2025-04-01,LC at Sight,98.7,83.7
SUP-7594,Samsung Display,COMP-22577,LED Backlight,23.23,EUR,1000,62,2024-11-20,2025-04-03,30% Deposit,91.3,89.5
SUP-5905,Tianma,COMP-63474,LCD Panel,130.38,USD,100,75,2024-11-20,2025-02-16,LC at Sight,87.0,84.1
SUP-3866,AU Optronics,COMP-45779,QLED Panel,195.03,USD,2000,46,2024-11-20,2025-03-05,Net 30,88.4,89.4
SUP-5133,Visionox,COMP-78633,Remote Control,9.19,CNY,1000,44,2024-11-18,2025-03-16,Net 90,97.5,88.0
SUP-1847,BOE Technology,COMP-88452,QLED Panel,465.45,CNY,500,67,2024-11-19,2025-05-09,30% Deposit,98.6,93.3
SUP-6389,LG Display,COMP-16555,Remote Control,6.81,USD,500,69,2024-11-27,2025-03-18,LC at Sight,95.1,100.0
SUP-5458,Innolux,COMP-46758,Bezel,12.65,USD,200,107,2024-11-24,2025-01-30,LC at Sight,93.1,88.8
SUP-6904,Tianma,COMP-26302,T-Con Board,24.1,USD,2000,33,2024-11-02,2025-04-18,Net 90,96.3,88.3
SUP-6762,Sharp Corporation,COMP-96972,LED Backlight,47.37,USD,100,72,2024-11-16,2025-05-06,LC at Sight,87.5,83.7
SUP-5493,TCL CSOT,COMP-54641,QLED Panel,393.62,USD,500,76,2024-11-04,2025-01-15,Net 60,89.9,85.6
SUP-4497,Samsung Display,COMP-22233,QLED Panel,425.35,CNY,200,120,2024-11-28,2025-05-11,Net 60,92.8,90.5
SUP-2923,Sharp Corporation,COMP-26096,LCD Panel,68.61,USD,1000,57,2024-11-19,2025-04-08,Net 90,87.9,84.4
SUP-7429,AU Optronics,COMP-65581,T-Con Board,38.19,USD,100,91,2024-11-22,2025-05-08,Net 60,96.3,95.6
SUP-3091,LG Display,COMP-15762,LED Backlight,30.83,USD,500,87,2024-11-08,2025-03-01,LC at Sight,91.6,98.2
SUP-6318,Sharp Corporation,COMP-30769,LED Backlight,10.93,USD,100,101,2024-11-10,2025-01-12,LC at Sight,88.0,88.5
SUP-6796,Tianma,COMP-64069,Remote Control,5.36,USD,1000,62,2024-11-04,2025-04-03,30% Deposit,87.1,95.5
SUP-9680,Visionox,COMP-46152,OLED Panel,504.76,EUR,2000,98,2024-11-10,2025-04-04,Net 30,99.0,99.9
SUP-5322,AU Optronics,COMP-30155,Power Supply,36.46,EUR,2000,104,2024-11-24,2025-03-28,Net 30,97.6,93.3
SUP-1544,TCL CSOT,COMP-51036,T-Con Board,34.36,EUR,500,99,2024-11-30,2025-02-09,Net 30,94.7,86.1
SUP-8121,Tianma,COMP-25591,QLED Panel,118.16,EUR,500,101,2024-11-01,2025-02-25,LC at Sight,100.0,89.3
SUP-3703,Sharp Corporation,COMP-30500,LED Backlight,16.95,EUR,100,81,2024-11-18,2025-04-20,Net 60,94.8,85.8
SUP-4520,Innolux,COMP-61836,OLED Panel,538.7,USD,1000,53,2024-11-04,2025-01-19,Net 30,86.7,81.5
SUP-8220,Samsung Display,COMP-30445,T-Con Board,26.65,USD,100,106,2024-11-08,2025-01-09,LC at Sight,94.6,80.2
SUP-2794,Tianma,COMP-69179,LED Backlight,17.13,CNY,2000,45,2024-11-13,2025-02-21,LC at Sight,91.3,88.0
SUP-3843,Samsung Display,COMP-51823,Main Board,83.23,USD,500,50,2024-11-09,2025-04-30,Net 30,85.3,81.9
SUP-9410,Samsung Display,COMP-27224,Remote Control,9.77,CNY,200,114,2024-12-01,2025-04-02,30% Deposit,88.5,97.4
SUP-9640,Innolux,COMP-89620,LED Backlight,35.15,EUR,100,59,2024-11-23,2025-03-07,Net 30,88.4,97.1
SUP-4931,Visionox,COMP-71897,OLED Panel,530.01,USD,100,52,2024-11-11,2025-04-19,Net 90,95.7,83.7
SUP-7922,Tianma,COMP-89519,QLED Panel,238.86,EUR,500,30,2024-11-30,2025-04-19,Net 90,91.0,99.1
SUP-3195,AU Optronics,COMP-13642,LCD Panel,154.28,USD,100,117,2024-11-05,2025-01-20,Net 30,95.0,82.8
SUP-6674,TCL CSOT,COMP-58110,LED Backlight,39.67,USD,100,40,2024-11-28,2025-05-14,Net 90,87.7,83.7
SUP-5266,BOE Technology,COMP-81974,T-Con Board,34.94,USD,100,70,2024-11-01,2025-03-24,LC at Sight,87.9,81.9
SUP-1847,AU Optronics,COMP-28757,LED Backlight,43.0,USD,500,85,2024-11-01,2025-03-29,Net 90,92.5,99.5
SUP-4603,Visionox,COMP-36354,T-Con Board,25.25,CNY,100,35,2024-11-13,2025-01-25,Net 30,93.4,87.2
SUP-5587,Sharp Corporation,COMP-74360,T-Con Board,41.74,EUR,200,33,2024-11-19,2025-03-22,Net 60,87.6,90.3
SUP-2415,LG Display,COMP-40917,T-Con Board,36.12,USD,500,53,2024-11-29,2025-05-18,Net 60,93.0,96.9
SUP-5759,AU Optronics,COMP-49039,Main Board,74.13,USD,1000,73,2024-11-12,2025-04-16,Net 60,85.1,91.3
SUP-2293,Visionox,COMP-70418,Stand,16.23,EUR,200,93,2024-11-18,2025-02-21,30% Deposit,89.0,81.7
SUP-1526,TCL CSOT,COMP-91620,OLED Panel,621.49,USD,2000,112,2024-11-14,2025-04-27,30% Deposit,97.7,95.2
SUP-3595,AU Optronics,COMP-38411,LED Backlight,48.34,CNY,2000,100,2024-11-22,2025-04-28,Net 30,90.4,99.2
SUP-7386,BOE Technology,COMP-55575,Main Board,42.31,USD,500,69,2024-11-07,2025-02-25,Net 30,88.7,94.0
SUP-1809,BOE Technology,COMP-25560,Remote Control,14.34,EUR,1000,110,2024-11-09,2025-04-23,Net 60,98.5,97.0
SUP-3308,Samsung Display,COMP-66527,LED Backlight,17.01,USD,2000,108,2024-11-10,2025-01-29,Net 30,93.2,80.7
SUP-4377,Samsung Display,COMP-69603,Bezel,21.68,CNY,200,69,2024-11-06,2025-01-28,Net 60,96.7,86.4
SUP-6256,TCL CSOT,COMP-35665,Bezel,11.35,EUR,100,87,2024-11-01,2025-02-19,30% Deposit,89.9,90.9
SUP-7111,Tianma,COMP-89484,Remote Control,14.31,USD,100,101,2024-11-30,2025-04-02,LC at Sight,91.7,82.9
SUP-1560,BOE Technology,COMP-64915,Main Board,65.0,USD,1000,56,2024-11-14,2025-02-26,30% Deposit,97.9,81.8
SUP-8670,Visionox,COMP-39673,OLED Panel,359.07,USD,500,83,2024-11-25,2025-05-05,30% Deposit,93.2,87.7
SUP-2524,Sharp Corporation,COMP-80544,LED Backlight,39.13,EUR,1000,117,2024-11-14,2025-03-13,Net 90,92.5,82.8
SUP-4844,LG Display,COMP-71649,Bezel,10.62,USD,100,77,2024-11-30,2025-03-25,30% Deposit,96.2,96.3
SUP-2096,BOE Technology,COMP-84623,T-Con Board,53.68,USD,2000,101,2024-11-29,2025-03-16,30% Deposit,93.7,92.5
SUP-9423,BOE Technology,COMP-61268,OLED Panel,531.69,USD,500,71,2024-11-29,2025-04-07,Net 90,94.2,83.4
SUP-8986,Sharp Corporation,COMP-35539,LCD Panel,266.89,EUR,200,50,2024-11-27,2025-03-06,Net 90,99.8,81.5
SUP-2496,TCL CSOT,COMP-84437,Main Board,33.02,USD,500,55,2024-11-30,2025-05-11,Net 30,90.6,96.3
SUP-5354,Innolux,COMP-33990,Remote Control,9.76,USD,200,64,2024-11-19,2025-05-11,Net 90,88.8,98.6
SUP-5376,Samsung Display,COMP-86631,Power Supply,44.65,USD,200,62,2024-11-16,2025-02-24,30% Deposit,99.6,90.9
SUP-7394,Sharp Corporation,COMP-87417,QLED Panel,278.81,EUR,1000,45,2024-11-15,2025-01-25,Net 30,91.9,82.7
SUP-7128,AU Optronics,COMP-86166,Bezel,16.87,USD,500,51,2024-11-27,2025-02-24,Net 60,86.1,85.9
SUP-7116,BOE Technology,COMP-89857,Bezel,12.43,USD,500,63,2024-11-04,2025-02-05,30% Deposit,89.0,95.6
SUP-3642,BOE Technology,COMP-48421,Main Board,30.36,USD,500,80,2024-11-14,2025-04-24,LC at Sight,88.9,95.6
SUP-7505,JDI,COMP-92059,OLED Panel,318.43,USD,500,79,2024-11-17,2025-03-06,Net 90,89.7,81.7
SUP-5048,Tianma,COMP-26448,Bezel,13.79,EUR,2000,58,2024-11-08,2025-01-18,Net 90,95.0,83.4
SUP-4406,JDI,COMP-19903,Remote Control,12.39,CNY,100,54,2024-11-10,2025-01-22,30% Deposit,99.3,84.0
SUP-7039,Innolux,COMP-52363,Bezel,16.58,CNY,500,120,2024-12-01,2025-04-24,LC at Sight,98.9,98.6
SUP-6512,Visionox,COMP-88411,Bezel,10.37,USD,2000,108,2024-11-12,2025-02-22,Net 90,87.8,95.0
SUP-7249,LG Display,COMP-18659,Power Supply,65.01,USD,500,87,2024-11-10,2025-03-04,Net 60,92.3,85.6
SUP-9676,BOE Technology,COMP-59519,Power Supply,71.19,EUR,100,117,2024-11-05,2025-01-22,Net 90,95.6,80.6
SUP-8918,LG Display,COMP-21280,LCD Panel,197.57,USD,200,51,2024-11-03,2025-03-11,LC at Sight,98.8,91.8
SUP-6796,Sharp Corporation,COMP-38621,Stand,26.18,CNY,500,37,2024-11-27,2025-05-05,Net 30,89.4,97.4
SUP-1809,Samsung Display,COMP-78394,OLED Panel,629.67,EUR,500,43,2024-11-24,2025-04-07,LC at Sight,92.8,92.7
SUP-2650,Sharp Corporation,COMP-23966,Main Board,92.72,USD,200,106,2024-11-25,2025-04-22,Net 60,95.1,90.9
SUP-4058,JDI,COMP-64188,Stand,17.47,CNY,2000,83,2024-11-07,2025-01-25,LC at Sight,95.2,87.8
SUP-2698,Tianma,COMP-90106,Bezel,15.39,USD,1000,117,2024-11-15,2025-04-01,LC at Sight,97.1,95.3
SUP-6045,JDI,COMP-65823,Bezel,8.68,CNY,500,53,2024-12-01,2025-02-26,Net 90,94.1,87.8
SUP-5239,BOE Technology,COMP-53966,Power Supply,51.73,USD,2000,112,2024-11-28,2025-04-24,Net 90,88.0,88.8
SUP-3351,Tianma,COMP-78871,Main Board,119.47,USD,1000,59,2024-11-05,2025-02-26,LC at Sight,94.8,99.3
SUP-2012,AU Optronics,COMP-69645,QLED Panel,498.24,USD,500,116,2024-11-06,2025-01-18,LC at Sight,85.2,90.3
SUP-2744,TCL CSOT,COMP-39140,LCD Panel,234.82,EUR,100,112,2024-11-18,2025-05-17,Net 90,98.5,88.2
SUP-5845,Innolux,COMP-64017,Power Supply,58.14,USD,1000,39,2024-11-18,2025-04-22,Net 90,98.6,84.9
SUP-7446,Sharp Corporation,COMP-49224,LED Backlight,17.22,USD,1000,55,2024-11-21,2025-01-23,30% Deposit,92.6,82.8
SUP-3120,JDI,COMP-66122,LCD Panel,148.06,EUR,1000,59,2024-11-20,2025-03-19,Net 90,94.6,94.0
SUP-5964,Samsung Display,COMP-19230,Bezel,23.71,USD,2000,46,2024-11-17,2025-02-04,Net 30,94.0,84.7
SUP-5381,Tianma,COMP-83587,OLED Panel,238.38,USD,100,111,2024-11-20,2025-02-24,Net 30,86.2,91.9
SUP-3733,AU Optronics,COMP-83256,LCD Panel,264.47,USD,200,49,2024-11-20,2025-03-01,Net 30,88.6,88.0
SUP-4372,Sharp Corporation,COMP-15453,OLED Panel,445.15,EUR,500,75,2024-11-20,2025-03-02,LC at Sight,90.1,84.2
SUP-6004,Sharp Corporation,COMP-63718,Bezel,11.25,EUR,2000,108,2024-11-05,2025-02-03,Net 30,93.7,91.4
SUP-1125,JDI,COMP-86585,Main Board,104.3,CNY,100,97,2024-11-09,2025-01-11,Net 90,94.5,96.8
SUP-8221,Tianma,COMP-73910,LCD Panel,268.69,USD,2000,93,2024-11-15,2025-01-19,Net 90,87.8,83.4
SUP-6897,Sharp Corporation,COMP-21657,Remote Control,7.82,CNY,1000,58,2024-11-14,2025-01-20,Net 60,86.6,97.1
SUP-8500,Sharp Corporation,COMP-86805,LED Backlight,14.79,USD,500,56,2024-11-01,2025-03-23,Net 60,94.8,82.9
SUP-2005,Visionox,COMP-11117,Bezel,15.8,CNY,200,104,2024-11-21,2025-04-06,30% Deposit,98.5,93.8
SUP-6167,AU Optronics,COMP-88828,T-Con Board,18.5,USD,100,61,2024-11-15,2025-02-22,Net 30,94.8,95.2
SUP-7890,Innolux,COMP-22154,T-Con Board,19.46,USD,1000,116,2024-11-08,2025-02-10,Net 30,89.0,85.1
SUP-4539,Innolux,COMP-54404,Power Supply,68.72,USD,100,70,2024-11-09,2025-03-03,Net 30,85.5,91.3
SUP-1953,BOE Technology,COMP-23446,Main Board,82.65,CNY,1000,79,2024-11-09,2025-01-08,LC at Sight,85.0,84.8
SUP-9090,JDI,COMP-26656,T-Con Board,49.38,USD,2000,114,2024-11-23,2025-02-24,30% Deposit,85.1,93.4
SUP-7534,Visionox,COMP-14892,Bezel,18.56,USD,100,35,2024-11-15,2025-04-16,Net 90,85.6,84.3
SUP-5037,AU Optronics,COMP-55132,LED Backlight,30.77,CNY,200,83,2024-11-06,2025-04-03,Net 30,86.1,92.4
SUP-5634,LG Display,COMP-70184,OLED Panel,698.95,USD,1000,67,2024-11-09,2025-04-11,Net 60,99.9,98.6
SUP-3166,Visionox,COMP-11411,Main Board,78.74,USD,2000,72,2024-11-24,2025-04-21,30% Deposit,99.9,85.8
SUP-3974,Visionox,COMP-58338,T-Con Board,31.69,USD,100,107,2024-11-18,2025-05-16,LC at Sight,95.5,85.3
SUP-1457,Visionox,COMP-69180,LCD Panel,86.71,USD,200,74,2024-11-10,2025-04-18,LC at Sight,88.5,95.9
SUP-9823,Innolux,COMP-59306,Power Supply,76.57,USD,500,92,2024-11-18,2025-04-09,Net 60,96.0,99.6
SUP-7956,LG Display,COMP-93588,Remote Control,6.21,CNY,100,115,2024-11-19,2025-03-29,Net 60,90.0,91.0
SUP-3706,TCL CSOT,COMP-44866,LCD Panel,157.78,USD,2000,91,2024-11-06,2025-01-27,Net 30,96.8,85.9
SUP-1363,Innolux,COMP-69983,T-Con Board,52.69,USD,500,31,2024-11-13,2025-02-06,Net 90,87.2,83.0
SUP-7397,BOE Technology,COMP-38690,Bezel,22.22,USD,200,103,2024-11-02,2025-03-17,Net 90,88.3,96.2
SUP-8855,Tianma,COMP-59013,Main Board,111.32,USD,100,83,2024-11-29,2025-01-28,Net 30,100.0,80.7
SUP-2710,Sharp Corporation,COMP-50209,Stand,9.45,USD,200,48,2024-11-20,2025-03-09,Net 90,92.8,81.7
SUP-5296,JDI,COMP-42885,Bezel,15.25,USD,100,96,2024-11-30,2025-04-30,Net 30,91.0,86.4
SUP-4924,Innolux,COMP-14217,Remote Control,14.85,USD,200,117,2024-11-09,2025-03-31,30% Deposit,97.7,83.8
SUP-8591,BOE Technology,COMP-77132,Remote Control,4.07,USD,100,57,2024-11-30,2025-05-29,30% Deposit,87.8,92.1
SUP-1383,AU Optronics,COMP-53603,Stand,23.87,USD,200,81,2024-11-18,2025-02-26,LC at Sight,91.5,95.0
SUP-2811,Tianma,COMP-81878,Stand,26.16,USD,500,61,2024-11-09,2025-04-29,Net 90,86.0,81.1
SUP-1469,JDI,COMP-90510,Remote Control,4.98,EUR,500,86,2024-11-30,2025-04-03,Net 90,89.9,82.2
SUP-8694,Tianma,COMP-33104,LED Backlight,36.47,USD,2000,104,2024-11-04,2025-02-06,Net 90,87.2,96.7
SUP-1849,Visionox,COMP-18203,OLED Panel,246.03,USD,1000,34,2024-11-12,2025-01-26,Net 90,87.5,88.5
SUP-3803,Innolux,COMP-12423,QLED Panel,150.9,USD,100,84,2024-12-01,2025-04-21,30% Deposit,88.8,91.1
SUP-3965,LG Display,COMP-74965,LED Backlight,34.76,USD,200,107,2024-11-27,2025-04-18,Net 90,97.8,85.5
SUP-8681,TCL CSOT,COMP-87641,Bezel,19.47,USD,2000,34,2024-11-26,2025-03-18,Net 30,98.1,98.0
SUP-8253,AU Optronics,COMP-23235,OLED Panel,775.99,EUR,200,114,2024-11-19,2025-01-22,LC at Sight,92.9,98.2
SUP-8359,Visionox,COMP-57820,LED Backlight,10.41,USD,500,76,2024-11-26,2025-04-24,30% Deposit,85.5,90.7
SUP-7394,AU Optronics,COMP-20128,LED Backlight,37.57,USD,1000,34,2024-11-04,2025-04-23,Net 30,86.0,99.6
SUP-3305,AU Optronics,COMP-99140,LCD Panel,56.23,USD,1000,67,2024-11-17,2025-01-24,LC at Sight,93.8,89.1
SUP-3252,Visionox,COMP-28289,LED Backlight,35.09,EUR,500,114,2024-12-01,2025-05-09,LC at Sight,97.0,80.9
SUP-8083,AU Optronics,COMP-90196,QLED Panel,199.38,CNY,2000,86,2024-11-04,2025-04-18,LC at Sight,90.4,93.1
SUP-4476,AU Optronics,COMP-62294,OLED Panel,305.22,USD,200,66,2024-11-21,2025-02-18,Net 90,99.0,99.3
SUP-2111,Tianma,COMP-69376,LED Backlight,10.07,CNY,100,116,2024-11-30,2025-05-24,LC at Sight,89.1,89.5
SUP-3303,TCL CSOT,COMP-54400,LED Backlight,20.88,USD,500,62,2024-11-25,2025-04-06,Net 30,94.2,97.3
SUP-5545,Tianma,COMP-25402,Remote Control,9.4,USD,100,30,2024-11-11,2025-03-30,LC at Sight,92.9,88.7
SUP-5343,Visionox,COMP-99179,QLED Panel,475.28,EUR,500,91,2024-11-04,2025-04-07,Net 30,96.8,89.4
SUP-2588,Sharp Corporation,COMP-96194,QLED Panel,303.44,USD,100,107,2024-11-23,2025-02-17,30% Deposit,97.2,92.6
SUP-9315,JDI,COMP-11738,Power Supply,37.17,USD,200,78,2024-11-13,2025-04-17,Net 30,99.9,82.2
SUP-1941,BOE Technology,COMP-44166,Main Board,89.56,USD,500,32,2024-11-17,2025-02-16,Net 30,96.7,86.8
SUP-9425,Samsung Display,COMP-75338,OLED Panel,581.04,USD,2000,63,2024-11-02,2025-03-31,Net 90,91.5,96.9
SUP-3816,AU Optronics,COMP-56631,Bezel,5.14,USD,500,69,2024-11-21,2025-05-08,Net 30,95.3,87.0
SUP-5728,Sharp Corporation,COMP-61836,Main Board,52.46,USD,100,50,2024-11-16,2025-01-30,Net 90,92.6,93.8
SUP-4453,Sharp Corporation,COMP-20743,Stand,8.71,CNY,100,94,2024-11-19,2025-03-28,30% Deposit,92.0,86.5
SUP-2666,BOE Technology,COMP-85937,LED Backlight,13.32,CNY,2000,80,2024-11-25,2025-03-01,30% Deposit,88.0,87.5
SUP-7908,LG Display,COMP-54741,T-Con Board,57.01,USD,1000,86,2024-11-15,2025-03-18,30% Deposit,85.6,84.6
SUP-5612,Samsung Display,COMP-90064,LED Backlight,37.12,CNY,500,64,2024-11-23,2025-03-26,Net 90,97.0,84.0
SUP-4235,AU Optronics,COMP-24787,QLED Panel,102.87,CNY,200,103,2024-11-29,2025-03-13,LC at Sight,90.8,90.9
SUP-8350,Sharp Corporation,COMP-53733,Stand,19.11,CNY,2000,56,2024-11-05,2025-02-13,LC at Sight,90.9,87.2
SUP-3278,JDI,COMP-16622,Remote Control,10.82,EUR,2000,49,2024-11-21,2025-02-16,Net 90,97.0,92.3
SUP-9023,Tianma,COMP-24468,Main Board,107.64,USD,200,50,2024-11-08,2025-04-08,Net 30,89.4,85.3
SUP-5138,BOE Technology,COMP-10560,Power Supply,27.64,USD,200,44,2024-11-15,2025-02-26,Net 30,98.1,83.6
SUP-7883,LG Display,COMP-55410,Main Board,53.63,USD,200,40,2024-11-16,2025-03-14,Net 90,98.4,93.5
SUP-2133,Visionox,COMP-30997,Main Board,54.72,CNY,1000,41,2024-11-27,2025-04-06,30% Deposit,92.2,84.8
SUP-5149,TCL CSOT,COMP-17412,LED Backlight,37.04,CNY,500,34,2024-11-13,2025-03-09,30% Deposit,93.8,82.2
SUP-6587,BOE Technology,COMP-33472,Main Board,46.0,USD,2000,101,2024-11-18,2025-02-18,Net 90,92.3,95.6
SUP-6289,Sharp Corporation,COMP-62923,Stand,21.54,EUR,100,113,2024-11-16,2025-02-05,Net 30,94.0,87.0
SUP-2944,JDI,COMP-64286,Remote Control,4.83,EUR,1000,80,2024-11-29,2025-04-23,30% Deposit,99.1,94.7
SUP-4311,Samsung Display,COMP-52118,Remote Control,9.55,USD,500,78,2024-11-27,2025-05-10,LC at Sight,88.6,97.8
SUP-4929,JDI,COMP-22456,T-Con Board,22.25,CNY,1000,101,2024-11-29,2025-03-21,Net 60,99.4,90.5
SUP-7270,Samsung Display,COMP-31378,Stand,32.47,EUR,100,36,2024-11-25,2025-05-08,Net 90,87.9,85.6
SUP-7826,Samsung Display,COMP-31857,QLED Panel,262.29,CNY,500,72,2024-11-19,2025-02-09,Net 60,96.3,98.5
SUP-5030,Visionox,COMP-34917,Main Board,108.19,USD,500,101,2024-11-14,2025-04-02,Net 90,96.8,80.2
SUP-9849,Samsung Display,COMP-48212,LCD Panel,261.9,CNY,100,46,2024-11-02,2025-01-02,30% Deposit,97.9,80.3
SUP-1117,Samsung Display,COMP-45398,Main Board,55.78,USD,200,54,2024-11-10,2025-04-23,Net 30,91.2,99.5
SUP-1720,JDI,COMP-27761,Remote Control,8.23,CNY,100,91,2024-11-03,2025-01-15,30% Deposit,97.3,100.0
SUP-8153,TCL CSOT,COMP-90208,Main Board,83.98,USD,500,105,2024-11-15,2025-05-10,Net 30,96.1,90.9
SUP-1151,BOE Technology,COMP-24403,QLED Panel,178.16,EUR,100,55,2024-11-20,2025-04-21,LC at Sight,96.5,83.9
SUP-2747,JDI,COMP-91805,LCD Panel,237.14,EUR,500,36,2024-11-28,2025-05-10,LC at Sight,86.7,96.9
SUP-2790,Innolux,COMP-31291,LCD Panel,239.89,EUR,200,46,2024-11-04,2025-04-12,Net 90,92.1,94.9
SUP-5940,TCL CSOT,COMP-54038,Remote Control,14.28,CNY,2000,32,2024-11-02,2025-03-22,Net 60,94.5,98.4
SUP-7998,AU Optronics,COMP-93575,OLED Panel,218.9,USD,100,119,2024-11-20,2025-02-25,Net 60,89.5,98.1
SUP-9251,AU Optronics,COMP-27115,Stand,21.52,EUR,100,83,2024-11-27,2025-03-28,LC at Sight,90.6,85.3
SUP-9587,Visionox,COMP-91358,LCD Panel,281.35,USD,1000,108,2024-11-01,2025-04-23,Net 60,88.5,91.1
