Product_ID,Product_Name,Category,Screen_Size,Resolution,Panel_Type,Price_USD,MSRP_USD,Cost_USD,Margin_Percent,Weight_LBS,Dimensions,HDR_Support,Smart_TV,Refresh_Rate,Release_Year,Warranty_Years,Energy_Rating,Stock_Status
DIS-SIGN-75-001,Digital Signage 75",Commercial Display,75,4K UHD,IPS,1299.99,1399.99,780.00,40,78.5,66.8x38.8x5.2,No,No,60Hz,2024,3,A++,In Stock
DIS-VIDEO-98-001,Video Wall 98",Commercial Display,98,4K UHD,IPS,4999.99,5499.99,3000.00,40,145.2,87.2x50.6x6.5,Yes,No,60Hz,2024,5,A+++,Special Order
PRJ-LCD-001,LCD Projector Basic,Projector,0,1080p,LCD,349.99,399.99,210.00,40,6.2,12x8x4,No,No,60Hz,2024,1,B+,In Stock
PRJ-LCD-002,LCD Projector Enhanced,Projector,0,4K UHD,LCD,599.99,699.99,360.00,40,8.4,14x10x5,Yes,No,60Hz,2024,2,A,In Stock
PRJ-DLP-001,DLP Projector Gaming,Projector,0,4K UHD,DLP,899.99,999.99,540.00,40,9.8,15x11x5,Yes,No,120Hz,2024,2,A+,In Stock
PRJ-LASER-001,Laser Projector Premium,Projector,0,4K UHD,Laser,1499.99,1699.99,900.00,40,12.5,18x12x6,Yes,No,120Hz,2024,3,A++,In Stock
ACC-MOUNT-S,Wall Mount Small,Accessories,0,N/A,N/A,29.99,39.99,15.00,50,2.5,12x8x2,N/A,N/A,N/A,2024,2,N/A,In Stock
ACC-MOUNT-M,Wall Mount Medium,Accessories,0,N/A,N/A,49.99,59.99,25.00,50,4.2,16x10x3,N/A,N/A,N/A,2024,2,N/A,In Stock
ACC-MOUNT-L,Wall Mount Large,Accessories,0,N/A,N/A,79.99,89.99,40.00,50,6.8,20x14x4,N/A,N/A,N/A,2024,2,N/A,In Stock
ACC-MOUNT-XL,Wall Mount Extra Large,Accessories,0,N/A,N/A,129.99,149.99,65.00,50,12.5,28x18x5,N/A,N/A,N/A,2024,2,N/A,In Stock
ACC-HDMI-6,HDMI Cable 6ft,Accessories,0,N/A,N/A,14.99,19.99,5.00,67,0.3,6ftx0.5in,N/A,N/A,N/A,2024,1,N/A,In Stock
ACC-HDMI-10,HDMI Cable 10ft,Accessories,0,N/A,N/A,19.99,24.99,7.00,65,0.5,10ftx0.5in,N/A,N/A,N/A,2024,1,N/A,In Stock
ACC-HDMI-15,HDMI Cable 15ft,Accessories,0,N/A,N/A,24.99,29.99,10.00,60,0.7,15ftx0.5in,N/A,N/A,N/A,2024,1,N/A,In Stock
ACC-CLEAN-KIT,Screen Cleaning Kit,Accessories,0,N/A,N/A,12.99,16.99,4.00,69,0.8,8x4x2,N/A,N/A,N/A,2024,N/A,N/A,In Stock
ACC-REMOTE-UNI,Universal Remote Control,Accessories,0,N/A,N/A,24.99,29.99,10.00,60,0.4,7x2x1,N/A,N/A,N/A,2024,1,N/A,In Stock
ACC-SOUNDBAR-S,Soundbar 2.0 Compact,Audio,0,N/A,N/A,99.99,129.99,50.00,50,4.5,24x3x3,N/A,N/A,N/A,2024,1,N/A,In Stock
ACC-SOUNDBAR-M,Soundbar 2.1 Standard,Audio,0,N/A,N/A,199.99,249.99,100.00,50,12.8,36x4x4,N/A,N/A,N/A,2024,2,N/A,In Stock
ACC-SOUNDBAR-L,Soundbar 5.1 Premium,Audio,0,N/A,N/A,399.99,449.99,200.00,50,25.6,48x5x5,N/A,N/A,N/A,2024,2,N/A,In Stock
